"municipality_code","date","cand_count","votes","age","win","win_count","total_votes","vote_share","D2201","A1301","A1303","A1801","A6103","A6104","A6105","A6106","F1101","I6100","I5101","I5102","I5211","I5212","E2501","E3501","unemployment","per.capita.income","student.per.school.1","student.per.school.2","A6108","D320101","D3202","A5103","A5104","livable","density","revenue.per.capita","F2201","F2211","population","number.of.health.centers","lat","lon","shutdown.0304","shutdown.0316","shutdown.0406","shutdown.0410","shutdown.0416","shutdown.0422","shutdown.0511","shutdown.0601","X2020.1.25","X2020.1.26","X2020.1.27","X2020.1.28","X2020.1.29","X2020.1.30","X2020.1.31","X2020.2.1","X2020.2.2","X2020.2.3","X2020.2.4","X2020.2.5","X2020.2.6","X2020.2.7","X2020.2.8","X2020.2.9","X2020.2.10","X2020.2.11","X2020.2.12","X2020.2.13","X2020.2.14","X2020.2.15","X2020.2.16","X2020.2.17","X2020.2.18","X2020.2.19","X2020.2.20","X2020.2.21","X2020.2.22","X2020.2.23","X2020.2.24","X2020.2.25","X2020.2.26","X2020.2.27","X2020.2.28","X2020.2.29","X2020.3.1","X2020.3.2","X2020.3.3","X2020.3.4","X2020.3.5","X2020.3.6","X2020.3.7","X2020.3.8","X2020.3.9","X2020.3.10","X2020.3.11","X2020.3.12","X2020.3.13","X2020.3.14","X2020.3.15","X2020.3.16","X2020.3.17","X2020.3.18","X2020.3.19","X2020.3.20","X2020.3.21","X2020.3.22","X2020.3.23","X2020.3.24","X2020.3.25","X2020.3.26","X2020.3.27","X2020.3.28","X2020.3.29","X2020.3.30","X2020.3.31","X2020.4.1","X2020.4.2","X2020.4.3","X2020.4.4","X2020.4.5","X2020.4.6","X2020.4.7","X2020.4.8","X2020.4.9","X2020.4.10","X2020.4.11","X2020.4.12","X2020.4.13","X2020.4.14","X2020.4.15","X2020.4.16","X2020.4.17","X2020.4.18","X2020.4.19","X2020.4.20","X2020.4.21","X2020.4.22","X2020.4.23","X2020.4.24","X2020.4.25","X2020.4.26","X2020.4.27","X2020.4.28","X2020.4.29","X2020.4.30","X2020.5.1","X2020.5.2","X2020.5.3","X2020.5.4","X2020.5.5","X2020.5.6","X2020.5.7","X2020.5.8","X2020.5.9","X2020.5.10","X2020.5.11","X2020.5.12","X2020.5.13","X2020.5.14","X2020.5.15","X2020.5.16","X2020.5.17","X2020.5.18","X2020.5.19","X2020.5.20","X2020.5.21","X2020.5.22","X2020.5.23","X2020.5.24","X2020.5.25","X2020.5.26","X2020.5.27","X2020.5.28","X2020.5.29","X2020.5.30","X2020.5.31","X2020.6.1","X2020.6.2","X2020.6.3","X2020.6.4","X2020.6.5","X2020.6.6","X2020.6.7","X2020.6.8","X2020.6.9","X2020.6.10","X2020.6.11","X2020.6.12","X2020.6.13","X2020.6.14","X2020.6.15","X2020.6.16","X2020.6.17","X2020.6.18","X2020.6.19","X2020.6.20","X2020.6.21","X2020.6.22","X2020.6.23","X2020.6.24","X2020.6.25","X2020.6.26","X2020.6.27","X2020.6.28","X2020.6.29","X2020.6.30","X2020.7.1","X2020.7.2","X2020.7.3","X2020.7.4","X2020.7.5","X2020.7.6","X2020.7.7","X2020.7.8","X2020.7.9","X2020.7.10","X2020.7.11","X2020.7.12","X2020.7.13","X2020.7.14","X2020.7.15","X2020.7.16","X2020.7.17","X2020.7.18","X2020.7.19","X2020.7.20","X2020.7.21","X2020.7.22","X2020.7.23","X2020.7.24","X2020.7.25","X2020.7.26","X2020.7.27","X2020.7.28","X2020.7.29","X2020.7.30","X2020.7.31","X2020.8.1","X2020.8.2","X2020.8.3","X2020.8.4","X2020.8.5","X2020.8.6","X2020.8.7","X2020.8.8","X2020.8.9","X2020.8.10","pref","pop.2020","number.of.neighbors","health.center.id","altitude","prec_mean","shine_mean","tmean_mean","commuters","date.0304","age.0304","win_count.0304","date.0316","age.0316","win_count.0316","date.0406","age.0406","win_count.0406","date.0410","age.0410","win_count.0410","date.0416","age.0416","win_count.0416","date.0422","age.0422","win_count.0422","date.0511","age.0511","win_count.0511","date.0601","age.0601","win_count.0601","tokyo_march"
1100,"4/7/19",2,634365,63,1,2,898373,0.70612652,-0.314710745,0.113203227,0.247666921,0.972712456,0.230053843,0.00224498,-1.450003733,-6.493970525,0.45736126,0.003396159,0.000103465,0.000691987,0.018900319,0.001132995,0.046255172,0.022960873,0.054448715,8.054925038,6.089553567,6.039364239,0.003992021,0.298139569,0.423310306,0.061373377,0.057137539,0.391505984,2.858755966,6.21928277,0.004488857,0.140354347,14.48810446,0,42.99472741,141.2495927,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1959313,11,110,32.7631,1296.678698,1554.742604,5.77819104,-0.758475897,"4/7/19",63,2,"4/7/19",63,2,"4/7/19",63,2,"4/7/19",63,2,"4/7/19",63,2,"4/7/19",63,2,"4/7/19",63,2,"4/7/19",63,2,NA
1202,"4/21/19",2,69458,69,1,3,106332,0.653218222,-0.755022584,0.102004294,0.323074378,0.862804958,0.033886134,0.003071671,-2.765437098,-6.241197395,0.464984078,0.003016915,0.000110468,0.000799942,0.023735425,0.001439896,0.041154981,0.022850148,0.052969048,7.939620588,5.402865052,5.466878008,0.027615167,0.227895065,0.368480846,0.032477563,0.037517185,0.181952292,1.340256833,6.288539348,0.035321238,0.166403415,12.45022594,0,41.83751987,140.9257741,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,255308,3,137,34.1518,1428.164907,1695.273039,7.568473609,-2.284289617,"4/21/19",69,3,"4/21/19",69,3,"4/21/19",69,3,"4/21/19",69,3,"4/21/19",69,3,"4/21/19",69,3,"4/21/19",69,3,"4/21/19",69,3,NA
1203,"8/26/18",4,26351,60,1,1,56009,0.470477959,-0.820980552,0.09162265,0.371050819,0.860158787,0.081895279,0.001459926,-2.283928806,-6.992654307,0.446154982,0.002666247,0.000134513,0.000697784,0.024977301,0.00198406,0.037338345,0.020638639,0.05662077,7.847555502,5.488019031,5.220771539,0.018821754,0.23370956,0.340974459,0.02571892,0.034755297,0.328466555,1.564254001,6.177830351,0.013835571,0.173607187,11.64767487,0,43.15639144,141.0262427,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,114425,4,136,32.8217,1303.483658,1586.721012,6.840077821,-1.681253264,"8/26/18",60,1,"8/26/18",60,1,"8/26/18",60,1,"8/26/18",60,1,"8/26/18",60,1,"8/26/18",60,1,"8/26/18",60,1,"8/26/18",60,1,NA
1204,"11/11/18",2,81329,50,1,4,136631,0.595245588,-0.653926467,0.109459519,0.313434726,0.923605365,0.028845276,0.001163116,-3.333338823,-7.412528477,0.471377041,0.003905521,0.000114635,0.000705445,0.020775342,0.001569614,0.045404159,0.02450562,0.048081608,7.940639101,5.629581258,5.688064352,0.005982072,0.251590497,0.360852787,0.030261536,0.032407407,0.470721986,1.506882223,6.147579564,0.026702103,0.170804213,12.71910583,0,43.75792413,142.3700776,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,334070,11,138,31.992,1139.797522,1524.386245,5.470260223,-2.713867948,"11/11/18",50,4,"11/11/18",50,4,"11/11/18",50,4,"11/11/18",50,4,"11/11/18",50,4,"11/11/18",50,4,"11/11/18",50,4,"11/11/18",50,4,NA
1205,"4/21/19",2,23052,41,1,3,41405,0.556744355,-0.494296322,0.103710311,0.340070458,0.786606296,0.051431733,0.001761438,-1.930692976,-6.267516754,0.443103293,0.003119982,8.16e-05,0.000640973,0.024962998,0.000477816,0.040720336,0.022688229,0.049868766,7.966229211,5.577695828,5.478553417,0.089840704,0.287592674,0.41115907,0.035791719,0.043054321,0.534990109,2.34524516,6.287168913,0.009413721,0.251676232,11.32631874,1.791759469,42.36648264,140.988379,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,82977,2,175,32.9628,1341.550602,1665.226506,8.072289157,-1.608862223,"4/21/19",41,3,"4/21/19",41,3,"4/21/19",41,3,"4/21/19",41,3,"4/21/19",41,3,"4/21/19",41,3,"4/21/19",41,3,"4/21/19",41,3,NA
1206,"10/23/16",2,38987,57,1,3,54369,0.717081425,-0.798507696,0.111020819,0.302543178,0.893271223,0.034496572,0.001424958,-3.215687633,-6.518106294,0.448592783,0.002045634,9.86e-05,0.000469862,0.020285282,0.000945525,0.045367566,0.024183513,0.04526203,7.927466805,5.657027276,5.490637787,0.005982072,0.220501006,0.333080069,0.034649339,0.03926886,0.226795803,0.223152356,6.311502014,0.022434527,0.182816676,12.03223103,2.079441542,43.15901788,144.0666015,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,168086,8,184,30.7763,1162.714266,1764.903463,4.528462604,-2.557293125,"10/23/16",57,3,"10/23/16",57,3,"10/23/16",57,3,"10/23/16",57,3,"10/23/16",57,3,"10/23/16",57,3,"10/23/16",57,3,"10/23/16",57,3,NA
1207,"4/15/18",2,33756,62,1,3,61396,0.549807805,-0.544727175,0.121457299,0.263608285,0.89288182,0.068919901,0.000856331,-2.226735603,-6.863437303,0.490039982,0.002932848,0.000113329,0.000614364,0.020274018,0.001240658,0.048535254,0.023860171,0.037805657,8.005904649,5.741646252,5.650733254,0.038258712,0.260165457,0.445620264,0.043819545,0.04452061,0.618093454,0.991259619,6.233457252,0.049135772,0.178657315,12.02000207,2.944438979,42.7573685,143.0305996,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,166043,8,179,29.5696,1314.860611,1822.319237,4.56351145,-1.722104194,"4/15/18",62,3,"4/15/18",62,3,"4/15/18",62,3,"4/15/18",62,3,"4/15/18",62,3,"4/15/18",62,3,"4/15/18",62,3,"4/15/18",62,3,NA
1208,"9/8/19",2,25138,66,1,2,34450,0.72969521,-0.798507696,0.111939683,0.300570835,0.667802287,0.026594955,0.000808407,-3.69206867,-6.649166046,0.480705459,0.001883679,0.000117858,0.000547198,0.014496536,0.001599502,0.045591905,0.023462302,0.039520198,7.965669997,5.410901727,5.285738584,-0.0010005,0.195554806,0.312141979,0.033529701,0.036330917,0.297868167,-0.191992596,6.437000147,0.06973254,0.172089118,11.66676181,1.609437912,43.85161822,143.7152054,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,116630,11,190,31.48,786.9187123,1771.67827,4.569684775,-2.926162135,"9/8/19",66,2,"9/8/19",66,2,"9/8/19",66,2,"9/8/19",66,2,"9/8/19",66,2,"9/8/19",66,2,"9/8/19",66,2,"9/8/19",66,2,NA
1209,"4/21/19",2,3617,53,1,1,5053,0.715812389,-1.660731207,0.056541898,0.485807984,0,0.040257831,0.000565419,-2.664134501,-7.007939923,0.445323985,0.00115141,0,0.000717532,0,0.002272184,0.025225671,0.012365525,0.055104114,7.702909731,5.323009979,4.615120517,0.029558802,0.07869679,0.286517017,0.026462223,0.038085817,0.146316852,-2.244506843,7.236736515,0.156409567,0.219027143,8.957896735,2.197224577,43.04336442,142.1106388,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7769,9,154,30.9133,1443.340764,1443.872291,4.443596059,-2.196772344,"4/21/19",53,1,"4/21/19",53,1,"4/21/19",53,1,"4/21/19",53,1,"4/21/19",53,1,"4/21/19",53,1,"4/21/19",53,1,"4/21/19",53,1,NA
1210,"9/4/16",2,23317,60,1,2,34339,0.67902385,-0.94160854,0.10630895,0.325483142,0.574693192,0.111480609,0.001147943,-2.534482931,-7.560305345,0.471094332,0.002168164,9.66e-05,0.000712363,0.020670587,0.00245101,0.04457189,0.023624936,0.049287814,7.915737164,5.493335754,5.264243386,-0.033556784,0.162778553,0.300277439,0.031548827,0.03553523,0.661739637,0.530684502,6.454068993,0.087409169,0.177302154,11.29489383,2.197224577,43.18087016,141.7974321,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,80410,9,154,31.0389,1179.892353,1650.272549,6.908823529,-1.648031596,"9/4/16",60,2,"9/4/16",60,2,"9/4/16",60,2,"9/4/16",60,2,"9/4/16",60,2,"9/4/16",60,2,"9/4/16",60,2,"9/4/16",60,2,NA
