"muncode","E2101","E3101"
3201,44,28
3202,17,11
3203,11,8
3205,19,11
3206,17,9
3207,14,8
3208,11,3
3209,28,17
3210,8,2
3211,9,5
3213,8,4
3214,10,4
3215,27,10
3216,8,6
3301,5,1
3302,5,3
3303,4,3
3321,11,3
3322,4,2
3366,2,2
3381,5,1
3402,2,1
3441,2,2
3461,1,1
3482,9,2
3483,10,5
3484,1,1
3485,1,1
3501,3,1
3503,1,1
3506,5,1
3507,8,4
3524,6,3
6201,37,16
6202,25,10
6203,26,11
6204,23,8
6205,6,4
6206,10,3
6207,5,3
6208,7,2
6209,6,2
6210,12,4
6211,9,6
6212,6,3
6213,8,3
6301,4,2
6302,2,1
6321,6,1
6322,1,1
6323,3,1
6324,3,2
6341,3,1
6361,3,1
6362,5,1
6363,1,1
6364,3,1
6365,1,1
6366,1,1
6367,1,1
6381,6,1
6382,6,1
6401,2,2
6402,4,1
6403,4,1
6426,3,1
6428,5,2
6461,5,1
7201,51,23
7202,20,13
7203,57,28
7204,68,42
7205,15,8
7207,17,10
7208,17,7
7209,9,4
7210,16,7
7211,13,6
7212,15,6
7213,16,6
7214,7,3
7301,4,1
7303,1,1
7308,6,2
7322,2,1
7342,2,1
7344,4,2
7362,3,1
7364,1,1
7367,3,1
7368,7,4
7402,2,2
7405,1,1
7407,2,1
7408,6,3
7421,2,1
7422,2,1
7423,2,1
7444,1,1
7445,2,1
7446,1,1
7447,4,3
7461,5,3
7464,2,1
7465,2,1
7466,4,1
7481,5,1
7482,1,1
7483,2,1
7484,1,1
7501,3,2
7502,2,2
7503,2,1
7504,3,1
7505,1,1
7521,6,2
7522,4,1
7541,1,1
7542,2,1
7543,4,4
7544,1,1
7545,2,1
7546,2,1
7547,7,4
7548,1,1
7561,3,1
7564,3,1
9201,70,31
9202,22,12
9203,30,15
9204,26,10
9205,25,10
9206,26,15
9208,24,10
9209,14,9
9210,21,9
9211,9,5
9213,20,9
9214,6,2
9215,5,2
9216,12,4
9301,7,3
9342,4,3
9343,4,1
9344,3,1
9345,3,1
9361,8,2
9364,5,2
9384,3,1
9386,6,2
9407,7,3
9411,3,2
11100,107,66
11201,33,26
11202,30,17
11203,52,26
11206,16,8
11207,13,8
11208,32,15
11209,14,10
11210,22,9
11211,13,6
11212,11,6
11214,24,14
11215,16,9
11216,11,3
11217,19,8
11218,19,11
11219,22,12
11221,21,11
11222,30,16
11223,7,4
11224,12,6
11225,16,12
11227,10,5
11228,8,4
11229,9,3
11230,17,8
11231,7,4
11232,23,11
11233,8,4
11234,10,5
11235,11,6
11237,19,8
11238,8,5
11239,12,7
11240,9,3
11241,8,5
11242,6,6
11243,8,3
11245,13,6
11246,6,4
11301,4,5
11324,5,3
11326,4,3
11327,2,1
11341,3,1
11342,3,3
11343,6,3
11346,4,2
11347,6,1
11348,3,1
11349,3,2
11361,1,1
11362,3,1
11363,2,1
11365,4,1
11369,1,1
11381,3,1
11383,4,1
11385,5,2
11408,6,3
11442,4,3
11464,6,4
11465,3,2
12100,114,60
12202,12,7
12203,41,20
12204,55,28
12205,10,4
12206,20,15
12207,46,22
12208,20,12
12210,14,7
12211,25,10
12212,23,11
12213,9,4
12215,15,5
12216,16,8
12217,42,25
12218,6,1
12219,42,22
12220,17,9
12221,22,13
12222,13,6
12223,8,3
12224,9,5
12225,17,12
12226,11,5
12227,17,11
12228,12,5
12229,8,5
12230,9,4
12231,20,9
12232,9,5
12233,7,3
12234,8,6
12235,10,3
12236,21,7
12237,13,6
12238,10,3
12239,7,3
12322,2,1
12329,4,1
12342,2,1
12347,4,1
12349,5,1
12403,3,1
12409,1,1
12410,7,2
12421,2,1
12422,1,1
12423,3,1
12424,3,1
12426,2,1
12427,1,1
12441,2,1
12443,2,1
12463,1,1
13101,11,14
13102,16,5
13103,20,22
13104,30,16
13105,24,27
13106,19,9
13107,25,13
13108,45,26
13109,32,15
13110,24,15
13111,61,30
13112,69,52
13113,21,13
13114,25,16
13115,43,32
13116,24,17
13117,37,22
13118,24,12
13119,52,27
13120,67,40
13121,69,36
13122,49,27
13123,71,35
13201,70,47
13202,19,9
13203,15,11
13204,16,9
13205,17,11
13206,24,12
13207,14,7
13208,22,11
13209,44,24
13210,10,9
13211,21,11
13212,17,8
13213,15,11
13214,11,6
13215,11,5
13218,7,3
13219,6,4
13220,10,5
13221,10,6
13222,14,9
13223,9,5
13224,18,11
13225,12,7
13227,7,3
13228,11,7
13229,18,11
13303,5,2
13305,3,2
13307,1,1
13308,2,1
13361,3,3
13362,1,1
13363,2,2
13364,1,1
13381,1,1
13382,1,1
13401,3,3
13402,1,1
13421,2,2
15100,108,61
15202,56,29
15204,19,8
15205,20,12
15206,19,10
15208,8,5
15209,7,5
15210,18,10
15211,8,4
15212,20,8
15213,15,5
15216,14,4
15217,8,3
15218,9,4
15222,51,23
15223,8,4
15224,22,13
15225,9,6
15226,19,4
15227,5,4
15307,3,1
15342,1,1
15361,2,1
15385,7,3
15405,1,1
15461,1,1
15482,4,1
15504,1,1
15581,1,1
15586,1,1
16201,67,29
16202,26,12
16204,7,2
16205,12,5
16206,7,2
16207,9,4
16208,8,4
16209,5,4
16210,9,8
16211,15,6
16321,1,1
16322,7,1
16323,9,1
16342,6,2
16343,2,1
18201,52,28
18202,15,7
18204,12,2
