"date","outcome average in matched control municipalities","outcome average in matched treated municipalities","outcome average in all treated municipalities"
"2020-02-26","0","0","0.00248559124808004"
"2020-02-27","0","0","0.000162311434951745"
"2020-02-28","0","0","0.000153345734768847"
"2020-02-29","0","0","5.70923783782145e-05"
"2020-03-01","0","0","0.000375660831040089"
"2020-03-02","0","0","0.0117813597647946"
"2020-03-03","0","0","0.00120397674840983"
"2020-03-04","0","0","0.00570494277518433"
"2020-03-05","0","0","0.00551433336962455"
"2020-03-06","0","0","0.00711207853061351"
"2020-03-07","0","0","0.00600579692711809"
"2020-03-08","0","0","0.00460021626627469"
"2020-03-09","0","0","0.000618783078444832"
"2020-03-10","0","0","0.00946151256373808"
"2020-03-11","0","0","0.00614718706219397"
"2020-03-12","0","0","0.0112757114820809"
"2020-03-13","0","0","0.0138078903834749"
"2020-03-14","0","0","0.012914273360953"
"2020-03-15","0","0","0.00145129097144074"
"2020-03-16","0","0","0.0042325964040763"
"2020-03-17","0","0","0.0222954656999314"
"2020-03-18","0","0","0.0132685211364333"
"2020-03-19","0","0","0.015786363266049"
"2020-03-20","0","0","0.00501760235246268"
"2020-03-21","0","0","0.0095091390886298"
"2020-03-22","0","0","0.014117448508796"
"2020-03-23","0","0","0.00678140902599571"
"2020-03-24","0","0","0.0310185194407563"
"2020-03-25","0","0","0.0213597227400411"
