"date","outcome average in matched control municipalities","outcome average in matched treated municipalities","outcome average in all treated municipalities"
"2020-03-09","0","0","0.000655841117961723"
"2020-03-10","0","0","0.0100281491100344"
"2020-03-11","0","0","0.00651533336257607"
"2020-03-12","0","0","0.0119509978243225"
"2020-03-13","0","0","0.0146348253228752"
"2020-03-14","0","0","0.0136876908463583"
"2020-03-15","0","0","0.00153820672599778"
"2020-03-16","0","0","0.00448608058983574"
"2020-03-17","0","0.0333124908182447","0.0236307094674761"
"2020-03-18","0","0","0.0140631540178632"
"2020-03-19","0","0","0.0167317861357427"
"2020-03-20","0","0","0.00531809942928147"
"2020-03-21","0","0","0.010078627919843"
"2020-03-22","0","0","0.0149629224445595"
"2020-03-23","0","0","0.00718753797880604"
"2020-03-24","0.0259786481490863","0","0.0318268976296547"
"2020-03-25","0","0","0.0226389261910463"
"2020-03-26","0","0","0.0349396499294213"
"2020-03-27","0","0","0.0512668582171558"
"2020-03-28","0","0","0.32826576914713"
"2020-03-29","0","0","0.250395745441733"
"2020-03-30","0.0342724580226181","0","0.0927753250191121"
"2020-03-31","0.0165876197470637","0","0.0661827024154139"
"2020-04-01","0.544088898937666","0.0333124908182447","0.0674053811741172"
"2020-04-02","0","0","0.140522601176383"
"2020-04-03","0","0","0.184076752787364"
"2020-04-04","0.0165876197470637","0","0.178595886811648"
"2020-04-05","0.00829380987353184","0","0.112268274511365"
"2020-04-06","0.00829380987353184","0","0.13758658235304"
