"date","ATC","lower bound of 95% confidence interval","upper bound of 95% confidence interval"
"2020-03-09","0","0","0"
"2020-03-10","0","0","0"
"2020-03-11","0","0","0"
"2020-03-12","0","0","0"
"2020-03-13","0","0","0"
"2020-03-14","0","0","0"
"2020-03-15","0","0","0"
"2020-03-16","0","0","0"
"2020-03-17","0.0333124908182447","-0.0334304324450621","0.100055414081551"
"2020-03-18","0","0","0"
"2020-03-19","0","0","0"
"2020-03-20","0","0","0"
"2020-03-21","0","0","0"
"2020-03-22","0","0","0"
"2020-03-23","0","0","0"
"2020-03-24","-0.0259786481490863","-0.0774093435597024","0.0254520472615299"
"2020-03-25","0","0","0"
"2020-03-26","0","0","0"
"2020-03-27","0","0","0"
"2020-03-28","0","0","0"
"2020-03-29","0","0","0"
"2020-03-30","-0.0342724580226181","-0.0876990186890544","0.0191541026438181"
"2020-03-31","-0.0165876197470637","-0.0494266194479915","0.0162513799538641"
"2020-04-01","-0.510776408119421","-1.55897895251991","0.537426136281065"
"2020-04-02","0","0","0"
"2020-04-03","0","0","0"
"2020-04-04","-0.0165876197470637","-0.0494266194479915","0.0162513799538641"
"2020-04-05","-0.00829380987353184","-0.0247133097239958","0.00812568997693207"
"2020-04-06","-0.00829380987353184","-0.0247133097239958","0.00812568997693207"
