"date","ATC","lower bound of 95% confidence interval","upper bound of 95% confidence interval"
"2020-03-30","0.0124374746984401","-0.107684484922022","0.132559434318903"
"2020-03-31","-0.00940344916658024","-0.0236776262698373","0.00487072793667682"
"2020-04-01","-0.0368837840643556","-0.0912096571148568","0.0174420889861455"
"2020-04-02","-0.0497928972701412","-0.120649832329907","0.0210640377896244"
"2020-04-03","0.0522339482404932","-0.0262712362327571","0.130739132713743"
"2020-04-04","-0.0216451766900885","-0.0750991721318253","0.0318088187516483"
"2020-04-05","0.00121237769950964","-0.0144715826685906","0.0168963380676099"
"2020-04-06","-0.054400032454117","-0.116522438336183","0.00772237342794851"
"2020-04-07","-0.0795838551451991","-0.133264577367836","-0.0259031329225623"
"2020-04-08","-0.136671277310568","-0.315190417203117","0.0418478625819803"
"2020-04-09","-0.15591738700362","-0.259942678301124","-0.0518920957061167"
"2020-04-10","-0.0615832852734191","-0.120599285679198","-0.00256728486764048"
"2020-04-11","-0.125610736226593","-0.269583784387184","0.0183623119339976"
"2020-04-12","-0.0172145724754577","-0.0601602396610786","0.0257310947101632"
"2020-04-13","-0.0208321108229482","-0.0534594886989561","0.0117952670530596"
"2020-04-14","-0.0266816611258498","-0.047311087620671","-0.00605223463102866"
"2020-04-15","-0.0721738792815133","-0.117837135171336","-0.026510623391691"
"2020-04-16","-0.0374213769244438","-0.0651653082079291","-0.00967744564095845"
"2020-04-17","-0.10747440280222","-0.1713245467329","-0.0436242588715403"
"2020-04-18","-0.0443616533736035","-0.0781725282098415","-0.0105507785373655"
"2020-04-19","-0.0517695517655757","-0.126583325993665","0.0230442224625139"
"2020-04-20","-0.0724506705868598","-0.141025162676526","-0.00387617849719388"
"2020-04-21","-0.0405425416347274","-0.0772891041599315","-0.00379597910952328"
"2020-04-22","-0.0131497634754731","-0.0709118969826555","0.0446123700317094"
"2020-04-23","-0.0440762174740375","-0.144676863706847","0.0565244287587716"
"2020-04-24","-0.0414650614652941","-0.0778265105185534","-0.00510361241203482"
"2020-04-25","-0.0199965116936598","-0.057238549996751","0.0172455266094315"
"2020-04-26","-0.0075145627357439","-0.0264943647421713","0.0114652392706835"
"2020-04-27","-0.010859155864222","-0.02891346777478","0.00719515604633596"
