"date","ATC","lower bound of 95% confidence interval","upper bound of 95% confidence interval"
"2020-03-30","0.0124374746984401","-0.107684484922022","0.132559434318903"
"2020-03-31","-0.00940344916658024","-0.0236776262698373","0.00487072793667682"
"2020-04-01","-0.0368837840643556","-0.0912096571148568","0.0174420889861455"
"2020-04-02","-0.0497928972701412","-0.120649832329907","0.0210640377896244"
"2020-04-03","0.0522339482404932","-0.0262712362327571","0.130739132713743"
"2020-04-04","-0.0216451766900885","-0.0750991721318253","0.0318088187516483"
"2020-04-05","0.00121237769950964","-0.0144715826685906","0.0168963380676099"
"2020-04-06","-0.0291714172189185","-0.060950495080032","0.00260766064219504"
"2020-04-07","-0.0425832119928372","-0.0656948537048747","-0.0194715702807998"
"2020-04-08","-0.0616668439552991","-0.110740693937109","-0.0125929939734893"
"2020-04-09","-0.0688993065594029","-0.11600722215004","-0.0217913909687653"
"2020-04-10","-0.0302624312045564","-0.052965073482388","-0.00755978892672476"
"2020-04-11","-0.0761923783112084","-0.1640300929832","0.0116453363607832"
"2020-04-12","-0.0178744382859786","-0.0331455767422779","-0.00260329982967926"
"2020-04-13","-0.0397447948139543","-0.0676098420181224","-0.0118797476097862"
"2020-04-14","-0.0470016217244282","-0.0730271617488006","-0.0209760817000558"
"2020-04-15","-0.0434941841606741","-0.0693937465294017","-0.0175946217919465"
"2020-04-16","-0.0382036207430685","-0.0756907147153147","-0.000716526770822415"
"2020-04-17","-0.0499693125839983","-0.07478442460645","-0.0251542005615466"
"2020-04-18","-0.028866819069636","-0.052414035969937","-0.00531960216933508"
"2020-04-19","-0.0245520470165434","-0.0451893880895691","-0.00391470594351775"
"2020-04-20","-0.0247041864597924","-0.0483743903974335","-0.00103398252215132"
"2020-04-21","-0.0254577335971829","-0.043455058124521","-0.00746040906984481"
"2020-04-22","-0.0298653019921473","-0.0523773090546124","-0.00735329492968227"
"2020-04-23","-0.0684191094711603","-0.139426174635678","0.00258795569335786"
"2020-04-24","-0.03865007043627","-0.0784328274373752","0.00113268656483527"
"2020-04-25","-0.0266635887980951","-0.0518439692631852","-0.00148320833300512"
"2020-04-26","-0.00984683921641992","-0.0190789305303358","-0.000614747902504062"
"2020-04-27","-0.0162466128022993","-0.0349091142153369","0.0024158886107383"
